날짜,기기 카테고리,세션 캠페인,세션 수동 광고 콘텐츠,세션 수동 검색어,inquiry_kakao,Kakao_Click,Call_Click,NaverPlace_Click,leveltest,방문상담신청,간편상담신청,무료청강신청,purchase_card,purchase_Npay,purchase_transfer
20260610,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,30,18,20,18,0,0,0,0,0,0,0
20260517,mobile,PM_01_IELTS ACADEMY (수도권),academy_main_capital,pm_ieltsacademy_260417,20,7,25,9,0,1,2,0,0,0,0
20260526,mobile,PM_01_IELTS ACADEMY (수도권),academy_main_capital,pm_ieltsacademy_260417,16,7,20,17,0,0,0,0,0,0,0
20260607,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,14,9,15,19,0,0,0,0,0,0,0
20260603,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,19,13,11,12,0,0,0,0,0,0,0
20260529,mobile,PM_01_IELTS ACADEMY (수도권),academy_main_capital,pm_ieltsacademy_260417,19,12,13,10,0,0,0,0,0,0,0
20260516,mobile,PM_01_IELTS ACADEMY (수도권),academy_main_capital,pm_ieltsacademy_260417,22,12,8,9,0,0,0,0,0,0,0
20260608,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,19,9,11,12,0,0,0,0,0,0,0
20260604,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,20,12,9,9,0,0,0,0,0,0,0
20260609,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,17,11,11,11,0,0,0,0,0,0,0
20260508,mobile,PM_01_IELTS ACADEMY (수도권),academy_main_capital,pm_ieltsacademy_260417,15,8,12,12,0,1,1,0,0,0,0
20260606,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,pm_summer_vacation_260522,17,11,11,10,0,0,0,0,0,0,0
